,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
145,offline,blitz,10,0,245.0,MM,1
146,offline,blitz,-6,0,558.0,MM,0
147,offline,blitz,6,1,266.0,MM,1
148,offline,blitz,-41,0,226.0,MM,0
149,offline,blitz,0,0,613.0,MF,0
150,offline,blitz,13,0,234.0,MM,1
151,offline,blitz,17,0,498.0,MM,0
152,offline,blitz,22,0,427.0,MM,0
153,offline,blitz,-2,0,248.0,MM,0
154,offline,blitz,-53,-1,518.0,MM,0
155,offline,blitz,-30,0,461.0,MM,0
156,offline,blitz,-29,0,223.0,MM,0
157,offline,blitz,-23,0,337.0,MM,0
158,offline,blitz,21,0,298.0,MM,1
159,offline,blitz,-41,-1,515.0,MM,0
160,offline,blitz,-47,0,784.0,MM,0
161,offline,blitz,-17,0,323.0,MM,0
162,offline,blitz,-37,0,416.0,FM,0
163,offline,blitz,-20,-1,426.0,MM,0
164,offline,blitz,1,0,327.0,MM,0
165,offline,blitz,-2,0,516.0,MM,0
166,offline,blitz,-4,0,200.0,MM,1
167,offline,blitz,-37,0,640.0,MM,0
168,offline,blitz,-11,-1,619.0,MM,0
169,offline,blitz,-35,0,781.0,MM,0
170,offline,blitz,-10,0,368.0,MF,0
171,offline,blitz,-14,0,692.0,MM,0
172,offline,blitz,-41,-1,247.0,MM,0
173,offline,blitz,-15,0,642.0,MM,0
174,offline,rapid,-20,0,312.0,MM,0
175,offline,rapid,-5,0,282.0,MM,1
176,offline,rapid,-41,-1,313.0,MM,0
177,offline,rapid,-6,0,558.0,MM,0
178,offline,rapid,30,0,321.0,MM,0
179,offline,rapid,-41,0,226.0,MM,0
180,offline,rapid,-27,0,472.0,MM,0
181,offline,rapid,-17,0,323.0,MM,0
182,offline,rapid,-35,0,337.0,MM,0
183,offline,rapid,6,1,260.0,MM,0
184,offline,rapid,32,0,478.0,MF,0
185,offline,rapid,-8,0,271.0,MM,0
186,offline,rapid,-28,-1,246.0,MM,0
187,offline,rapid,0,0,406.0,MM,1
188,offline,rapid,-30,0,461.0,MM,0
189,offline,rapid,-23,0,275.0,MM,0
190,offline,rapid,-22,0,506.0,MM,0
191,offline,rapid,21,0,303.0,MM,1
192,offline,rapid,-37,0,416.0,FM,1
193,offline,rapid,-12,-1,298.0,MM,0
194,offline,rapid,-11,-1,634.0,MM,0
195,offline,rapid,-25,0,278.0,MM,0
196,offline,rapid,1,0,336.0,MM,0
197,offline,rapid,-33,-1,212.0,MM,0
198,offline,rapid,-35,0,573.0,MM,0
199,offline,standard,-1,0,281.0,FF,0
200,offline,standard,1,0,315.0,FF,0
201,offline,standard,3,0,610.0,FF,1
202,offline,standard,-1,0,203.0,FF,1
